Nombre de tubería,Descripción,Estilo de tubería,Tipo de pieza,Diámetro nominal,Alineación de referencia,Superficie de referencia,P.K. inicial,Desfase inicial,P.K. final,Desfase final,Cobertura mínima,Cobertura máxima,Abscisa inicial,Ordenada inicial,Abscisa final,Ordenada final,Elevación de eje inicial,Elevación de eje final,Rasante inicial,Rasante final,Elevación de generatriz interior superior inicial,Elevación de generatriz interior superior final,Longitud 2D,Longitud 3D,Orientación,Talud,Radio horizontal,Longitud de cuerda,Abscisa de centro,Ordenada de centro,Radio vertical,Diámetro interior,Diámetro exterior,Grosor de pared,Pieza inicial,Pieza final,Conexiones,Segmentos verticales,Material,Descripción de pieza,Infracciones,Conjuntos de propiedades
Pressure Pipe - (104),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.973,1.000,367847.4729,4057561.0066,367851.3230,4057563.4320,3.234,3.265,3.134,3.165,3.345,3.376,4.5549,4.5550,"57° 47' 28.301""",-0.68 %,29.5000,4.5504,367833.7211,4057587.1052,,0.2000,0.2220,0.0110,Fitting - (98),Fitting - (99),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (105),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.972,0.978,367851.3868,4057563.4796,367854.8101,4057566.4775,3.265,3.269,3.165,3.169,3.376,3.380,4.5550,4.5550,"48° 47' 23.555""",-0.07 %,29.5090,4.5504,367833.7151,4057587.1120,,0.2000,0.2220,0.0110,Fitting - (99),Fitting - (100),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (106),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.922,1.119,367854.8657,4057566.5345,367875.5612,4057587.7499,3.269,3.264,3.169,3.164,3.380,3.375,29.6378,29.6378,"44° 17' 21.089""",0.02 %,,,,,,0.2000,0.2220,0.0110,Fitting - (100),Fitting - (101),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (107),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.973,1.161,367875.6168,4057587.8069,367896.3122,4057609.0224,3.264,3.185,3.164,3.085,3.375,3.296,29.6378,29.6379,"44° 17' 21.089""",0.26 %,,,,,,0.2000,0.2220,0.0110,Fitting - (101),Fitting - (102),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (108),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.990,1.225,367896.3655,4057609.0816,367911.0851,4057626.8566,3.185,3.188,3.085,3.088,3.296,3.299,23.0786,23.0786,"39° 37' 42.110""",-0.01 %,,,,,,0.2000,0.2220,0.0110,Fitting - (102),Fitting - (103),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (109),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.631,1.053,367911.1334,4057626.9199,367946.0283,4057676.6167,3.188,3.196,3.088,3.096,3.299,3.307,60.7241,60.7241,"35° 4' 29.283""",-0.01 %,,,,,,0.2000,0.2220,0.0110,Fitting - (103),Fitting - (163),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (110),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.000,1.097,367947.2651,4057678.3646,367951.9017,4057682.7916,3.195,3.060,3.095,2.960,3.306,3.171,6.4107,6.4121,"46° 19' 29.283""",2.11 %,,,,,,0.2000,0.2220,0.0110,Fitting - (104),Fitting - (105),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (111),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.994,1.098,367951.9650,4057682.8400,367963.4342,4057689.7446,3.059,3.036,2.959,2.936,3.170,3.147,13.3872,13.3872,"58° 57' 4.916""",0.17 %,,,,,,0.2000,0.2220,0.0110,Fitting - (105),Fitting - (106),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (112),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.999,1.046,367963.5061,4057689.7788,367978.0297,4057695.0072,3.036,3.097,2.936,2.997,3.147,3.208,15.4361,15.4362,"70° 12' 4.916""",-0.39 %,,,,,,0.2000,0.2220,0.0110,Fitting - (106),Fitting - (107),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (113),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.000,1.004,367978.1016,4057695.0414,367981.2849,4057696.9578,3.097,3.112,2.997,3.012,3.208,3.223,3.7156,3.7156,"58° 57' 4.916""",-0.40 %,,,,,,0.2000,0.2220,0.0110,Fitting - (107),Fitting - (165),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (114),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.913,1.113,367984.0642,4057699.5999,368068.7914,4057820.2934,3.127,3.999,3.027,3.899,3.238,4.110,147.4640,147.4666,"35° 4' 8.296""",-0.59 %,,,,,,0.2000,0.2220,0.0110,<Ninguno>,Fitting - (108),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (115),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.877,1.078,368068.8371,4057820.3585,368153.5407,4057941.0184,3.999,4.385,3.899,4.285,4.110,4.496,147.4229,147.4234,"35° 4' 8.296""",-0.26 %,,,,,,0.2000,0.2220,0.0110,Fitting - (108),Fitting - (109),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (116),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.874,1.060,368153.5863,4057941.0837,368165.0456,4057957.5901,4.385,4.668,4.285,4.568,4.496,4.779,20.0943,20.0963,"34° 46' 10.829""",-1.41 %,,,,,,0.2000,0.2220,0.0110,Fitting - (109),Fitting - (110),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (117),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.851,0.997,368165.0913,4057957.6554,368171.8288,4057967.2071,4.669,4.655,4.569,4.555,4.780,4.766,11.6888,11.6888,"35° 11' 53.031""",0.12 %,,,,,,0.2000,0.2220,0.0110,Fitting - (110),Fitting - (156),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (118),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.883,1.016,368183.7010,4057984.0384,368200.0002,4058007.2912,4.630,4.743,4.530,4.643,4.741,4.854,28.3964,28.3967,"35° 1' 43.396""",-0.40 %,,,,,,0.2000,0.2220,0.0110,Fitting - (111),Fitting - (112),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (119),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,-2.114,1.004,368200.0459,4058007.3564,368219.7253,4058035.4014,4.743,4.771,4.643,4.671,4.854,4.882,34.2607,34.2607,"35° 3' 27.486""",-0.08 %,,,,,,0.2000,0.2220,0.0110,Fitting - (112),Fitting - (113),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (120),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.998,1.059,368219.7698,4058035.4674,368231.4142,4058053.4210,4.771,4.827,4.671,4.727,4.882,4.938,21.3992,21.3993,"32° 58' 0.679""",-0.26 %,,,,,,0.2000,0.2220,0.0110,Fitting - (113),<Ninguno>,2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (122),Pipe_ DN 150_ PN 16_ [...],PROPUESTO,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.884,0.897,368171.7807,4057967.5593,368171.3354,4057967.8695,4.716,4.722,4.641,4.647,4.801,4.807,0.5427,0.5428,"304° 51' 54.003""",-1.08 %,,,,,,0.1500,0.1700,0.0100,Fitting - (156),Appurtenance - (2),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (123),Pipe_ DN 150_ PN 16_ [...],PROPUESTO,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.997,1.053,368116.2516,4058006.4013,368066.9309,4058040.8829,5.259,5.531,5.184,5.456,5.344,5.616,60.1790,60.1796,"304° 57' 31.091""",-0.45 %,,,,,,0.1500,0.1700,0.0100,Fitting - (115),Fitting - (116),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (124),Pipe_ DN 150_ PN 16_ [...],PROPUESTO,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.999,1.000,368066.8728,4058040.9214,368062.0460,4058043.1867,5.531,5.555,5.456,5.480,5.616,5.640,5.3445,5.3446,"295° 8' 31.124""",-0.45 %,22.5355,5.3320,368054.9522,4058021.7969,,0.1500,0.1700,0.0100,Fitting - (116),Fitting - (117),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (125),Pipe_ DN 150_ PN 16_ [...],PROPUESTO,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.999,1.023,368061.9798,4058043.2086,368055.9536,4058043.7481,5.556,5.619,5.481,5.544,5.641,5.704,6.1025,6.1028,"275° 6' 58.066""",-1.04 %,13.4546,6.0503,368057.7976,4058030.4205,,0.1500,0.1700,0.0100,Fitting - (117),Fitting - (118),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (126),Pipe_ DN 150_ PN 16_ [...],PROPUESTO,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,1.006,1.397,368055.8848,4058043.7382,368052.4078,4058043.3858,5.614,5.066,5.539,4.991,5.699,5.151,3.4959,3.5386,"264° 12' 43.572""",15.66 %,39.7305,3.4948,368050.1435,4058083.0517,,0.1500,0.1700,0.0100,Fitting - (118),Fitting - (119),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (127),Pipe_ DN 150_ PN 16_ [...],PROPUESTO,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,1.288,1.404,368052.3386,4058043.3803,368040.6544,4058046.4215,5.060,4.881,4.985,4.806,5.145,4.966,12.3289,12.3303,"284° 35' 21.769""",1.45 %,17.4311,12.0736,368050.6155,4058060.7261,,0.1500,0.1700,0.0100,Fitting - (119),Fitting - (120),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (128),Pipe_ DN 150_ PN 16_ [...],PROPUESTO,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,1.351,1.356,368040.5973,4058046.4614,368039.8487,4058046.9850,4.880,4.851,4.805,4.776,4.965,4.936,0.9135,0.9140,"304° 57' 58.897""",3.08 %,,,,,,0.1500,0.1700,0.0100,Fitting - (120),Fitting - (164),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (129),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.988,1.193,367959.1104,4058239.5664,367917.1765,4058273.5512,5.969,6.081,5.894,6.006,6.054,6.166,53.9762,53.9763,"309° 1' 21.359""",-0.21 %,,,,,,0.1500,0.1700,0.0100,Fitting - (155),Fitting - (121),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (130),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.870,1.010,367916.9353,4058273.5332,367907.9449,4058263.6971,6.082,6.155,6.007,6.080,6.167,6.240,13.3258,13.3260,"222° 25' 40.737""",-0.54 %,,,,,,0.1500,0.1700,0.0100,Fitting - (121),Fitting - (122),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (131),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.736,1.042,367907.7037,4058263.6792,367880.1654,4058286.0323,6.155,6.085,6.080,6.010,6.240,6.170,35.4685,35.4686,"309° 3' 59.632""",0.20 %,,,,,,0.1500,0.1700,0.0100,Fitting - (122),Fitting - (123),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (132),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.720,1.127,367880.1113,4058286.0761,367854.1455,4058307.0286,6.086,6.701,6.011,6.626,6.171,6.786,33.3651,33.3708,"308° 54' 4.041""",-1.84 %,,,,,,0.1500,0.1700,0.0100,Fitting - (123),Fitting - (124),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (133),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.731,1.231,367854.0910,4058307.0721,367838.1355,4058319.6247,6.701,6.404,6.626,6.329,6.786,6.489,20.3014,20.3036,"308° 11' 34.990""",1.46 %,,,,,,0.1500,0.1700,0.0100,Fitting - (124),Fitting - (125),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (134),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.751,0.994,367838.1041,4058319.8645,367846.5224,4058331.0839,6.403,6.507,6.328,6.432,6.488,6.592,14.0265,14.0269,"36° 52' 55.533""",-0.74 %,,,,,,0.1500,0.1700,0.0100,Fitting - (125),Fitting - (126),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (135),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.675,1.034,367846.4926,4058331.3239,367793.5249,4058374.1702,6.509,6.897,6.434,6.822,6.594,6.982,68.1277,68.1288,"308° 58' 11.401""",-0.57 %,,,,,,0.1500,0.1700,0.0100,Fitting - (126),Fitting - (127),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (136),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,1.000,2.108,367793.4722,4058374.2156,367771.0752,4058495.9635,6.897,6.116,6.822,6.041,6.982,6.201,132.8236,132.8259,"349° 34' 34.701""",0.59 %,102.8892,123.7908,367863.1070,4058449.9598,,0.1500,0.1700,0.0100,Fitting - (127),Fitting - (128),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (137),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,1.000,1.014,367771.1064,4058496.0258,367772.6719,4058498.2880,6.114,6.043,6.039,5.968,6.199,6.128,2.7599,2.7608,"34° 41' 3.368""",2.59 %,10.0063,2.7511,367780.0393,4058491.5168,,0.1500,0.1700,0.0100,Fitting - (128),Fitting - (129),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (138),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,1.000,1.000,367772.7191,4058498.3390,367775.1178,4058500.9302,6.038,5.653,5.963,5.578,6.123,5.738,3.5310,3.5520,"42° 47' 25.215""",10.92 %,,,,,,0.1500,0.1700,0.0100,Fitting - (129),Fitting - (130),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (139),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.999,1.000,367775.1649,4058500.9811,367776.6044,4058503.0017,5.645,5.374,5.570,5.299,5.730,5.459,2.4874,2.5021,"35° 27' 57.559""",10.89 %,10.0077,2.4810,367767.7966,4058507.7533,,0.1500,0.1700,0.0100,Fitting - (130),Fitting - (131),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (140),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.051,1.551,367776.6372,4058503.0631,367836.3008,4058614.6090,5.370,4.992,5.295,4.917,5.455,5.077,126.4999,126.5005,"28° 8' 29.045""",0.30 %,,,,,,0.1500,0.1700,0.0100,Fitting - (131),Fitting - (132),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (141),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,1.000,1.000,367836.3334,4058614.6705,367840.2899,4058622.0679,4.991,4.963,4.916,4.888,5.076,5.048,8.3891,8.3891,"28° 8' 26.290""",0.34 %,498.1061,8.3890,368277.5223,4058383.4521,,0.1500,0.1700,0.0100,Fitting - (132),Fitting - (133),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (142),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.824,1.000,367840.3233,4058622.1290,367844.3255,4058629.6114,4.963,4.996,4.888,4.921,5.048,5.081,8.4856,8.4856,"28° 8' 29.133""",-0.38 %,504.6056,8.4855,367397.3859,4058863.8588,,0.1500,0.1700,0.0100,Fitting - (133),Fitting - (134),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (143),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.983,1.002,367844.3578,4058629.6731,367846.5201,4058633.7157,4.996,5.015,4.921,4.940,5.081,5.100,4.5846,4.5846,"28° 8' 29.144""",-0.42 %,274.5651,4.5846,368087.5382,4058502.2004,,0.1500,0.1700,0.0100,Fitting - (134),Fitting - (135),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (144),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.711,1.123,367846.5535,4058633.7768,367882.7145,4058691.4271,5.015,5.010,4.940,4.935,5.100,5.095,68.0942,68.0942,"32° 5' 52.460""",0.01 %,562.6329,68.0527,368340.3912,4058364.1843,,0.1500,0.1700,0.0100,Fitting - (135),Fitting - (136),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (145),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.972,1.033,367882.7550,4058691.4837,367906.0566,4058721.0436,5.010,4.756,4.935,4.681,5.095,4.841,37.6534,37.6543,"38° 14' 53.771""",0.67 %,403.2982,37.6397,368210.7852,4058456.8658,,0.1500,0.1700,0.0100,Fitting - (136),Fitting - (137),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (146),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.576,1.000,367906.1023,4058721.0962,367932.1789,4058750.6740,4.756,4.872,4.681,4.797,4.841,4.957,39.4318,39.4319,"41° 24' 0.747""",-0.29 %,2761.8736,39.4314,369990.7932,4056909.4643,,0.1500,0.1700,0.0100,Fitting - (137),Fitting - (138),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (147),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.576,1.684,367932.4197,4058750.6964,368164.9324,4058571.8128,4.872,4.588,4.797,4.513,4.957,4.673,293.3624,293.3625,"127° 34' 22.348""",0.10 %,,,,,,0.1500,0.1700,0.0100,Fitting - (138),Fitting - (141),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (150),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,1.001,1.162,368164.9877,4058571.7705,368172.7497,4058565.1584,4.587,4.555,4.512,4.480,4.672,4.640,10.2015,10.2016,"130° 25' 34.581""",0.32 %,94.0000,10.1965,368108.0023,4058497.0131,,0.1500,0.1700,0.0100,Fitting - (141),Fitting - (142),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (151),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.975,1.162,368172.7926,4058565.1035,368193.8338,4058528.0600,4.554,4.537,4.479,4.462,4.639,4.622,42.6022,42.6022,"150° 24' 10.252""",0.04 %,,,,,,0.1500,0.1700,0.0100,Fitting - (142),<Ninguno>,2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (152),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.276,1.007,368091.7578,4058143.7118,368222.3855,4058051.8692,5.341,4.853,5.266,4.778,5.426,4.938,159.6830,159.6837,"125° 6' 37.968""",0.31 %,,,,,,0.1500,0.1700,0.0100,Fitting - (147),Fitting - (143),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (153),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.991,1.000,368222.4425,4058051.8291,368231.3942,4058053.3925,4.853,4.853,4.778,4.778,4.938,4.938,10.0785,10.0785,"80° 5' 37.044""",0.00 %,6.4608,9.0872,368226.1281,4058057.1355,,0.1500,0.1700,0.0100,Fitting - (143),Fitting - (144),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (154),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,-0.094,1.014,368231.4343,4058053.4495,368349.7447,4058221.8036,4.852,3.188,4.777,3.113,4.937,3.273,205.7680,205.7748,"35° 5' 51.128""",0.81 %,,,,,,0.1500,0.1700,0.0100,Fitting - (144),Fitting - (145),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (155),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.417,1.000,368349.7030,4058222.0418,368213.5161,4058317.4722,3.187,4.894,3.112,4.819,3.272,4.979,166.2943,166.3031,"305° 1' 12.429""",-1.03 %,,,,,,0.1500,0.1700,0.0100,Fitting - (145),Fitting - (146),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (156),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.354,0.949,368213.1622,4058317.4027,368091.7023,4058144.0682,4.897,5.341,4.797,5.241,5.008,5.452,211.6539,211.6544,"215° 1' 11.645""",-0.21 %,,,,,,0.2000,0.2220,0.0110,Fitting - (146),Fitting - (147),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (157),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.949,1.010,368091.4039,4058143.6423,368085.6998,4058135.5020,5.342,5.363,5.242,5.263,5.453,5.474,9.9399,9.9400,"215° 1' 11.645""",-0.21 %,,,,,,0.2000,0.2220,0.0110,Fitting - (147),Fitting - (90),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (158),Pipe_ DN 100_ PN 16_ [...],Estándar,Tubería a presión,100,<Ninguno>,PROPUESTA,,,,,0.990,1.143,367941.2773,4058508.2384,368061.7206,4058423.8434,6.256,5.463,6.206,5.413,6.315,5.522,147.0684,147.0705,"125° 1' 8.624""",0.54 %,,,,,,0.1000,0.1180,0.0090,<Ninguno>,Fitting - (148),2,1,ByLayer,Pipe_ DN 100_ PN 16_ RF,0,0
Pressure Pipe - (159),Pipe_ DN 100_ PN 16_ [...],Estándar,Tubería a presión,100,<Ninguno>,PROPUESTA,,,,,0.867,1.066,368061.7502,4058423.6749,368048.4371,4058404.6760,5.462,5.494,5.412,5.444,5.521,5.553,23.1990,23.1990,"215° 1' 12.434""",-0.14 %,,,,,,0.1000,0.1180,0.0090,Fitting - (148),Fitting - (151),2,1,ByLayer,Pipe_ DN 100_ PN 16_ RF,0,0
Pressure Pipe - (160),Pipe_ DN 100_ PN 16_ [...],Estándar,Tubería a presión,100,<Ninguno>,PROPUESTA,,,,,0.990,1.095,368034.7489,4058385.3527,367914.4047,4058469.6783,5.527,6.289,5.477,6.239,5.586,6.348,146.9474,146.9494,"305° 1' 8.624""",-0.52 %,,,,,,0.1000,0.1180,0.0090,Fitting - (149),Fitting - (150),2,1,ByLayer,Pipe_ DN 100_ PN 16_ RF,0,0
Pressure Pipe - (161),Pipe_ DN 100_ PN 16_ [...],Estándar,Tubería a presión,100,<Ninguno>,PROPUESTA,,,,,0.942,1.082,367914.3751,4058469.8468,367941.2773,4058508.2384,6.289,6.256,6.239,6.206,6.348,6.315,46.8790,46.8790,"35° 1' 12.434""",0.07 %,,,,,,0.1000,0.1180,0.0090,Fitting - (150),<Ninguno>,2,1,ByLayer,Pipe_ DN 100_ PN 16_ RF,0,0
Pressure Pipe - (162),Pipe_ DN 100_ PN 16_ [...],Estándar,Tubería a presión,100,<Ninguno>,PROPUESTA,,,,,1.066,1.149,368064.1964,4058393.4363,368048.4812,4058404.4253,5.409,5.496,5.359,5.446,5.468,5.555,19.1761,19.1763,"304° 57' 48.841""",-0.45 %,,,,,,0.1000,0.1180,0.0090,Fitting - (153),Fitting - (151),2,1,ByLayer,Pipe_ DN 100_ PN 16_ RF,0,0
Pressure Pipe - (163),Pipe_ DN 100_ PN 16_ [...],Estándar,Tubería a presión,100,<Ninguno>,PROPUESTA,,,,,0.955,1.082,368048.2305,4058404.3812,368034.9175,4058385.3824,5.495,5.527,5.445,5.477,5.554,5.586,23.1990,23.1990,"215° 1' 12.434""",-0.14 %,,,,,,0.1000,0.1180,0.0090,Fitting - (151),Fitting - (149),2,1,ByLayer,Pipe_ DN 100_ PN 16_ RF,0,0
Pressure Pipe - (165),Pipe_ DN 300_ PN 16_ [...],Estándar,Tubería a presión,300,<Ninguno>,PROPUESTA,,,,,0.332,3.374,367739.9266,4057516.4917,367807.1026,4057470.5356,3.808,2.557,3.658,2.407,3.971,2.720,81.3915,81.4011,"124° 22' 35.822""",1.54 %,,,,,,0.3000,0.3260,0.0130,<Ninguno>,Fitting - (20),2,1,ByLayer,Pipe_ DN 300_ PN 16_ RF,0,0
