Distancia de tramo de tubería,Nombre de pieza,Tipo de pieza,Abscisa,Ordenada,Rasante,Elevación de eje,Elevación de generatriz interior superior,Talud,Orientación/ángulo,Perfil de superficie,Elevación del perfil de superficie,Radio horizontal,Radio vertical,Nombre del tramo de tubería,Comparar con,P.K. comparado,Abscisa comparada,Ordenada comparada,Elevación comparada,Desfase comparado (XY),Desfase comparado (Z),Pendiente comparada
0+140.00,Pressure Pipe - (103),Tubería a presión,367839.4869,4057560.2188,3.119,3.219,3.330,-0.18 %,"114° 9' 16.588""",<Ninguno>,,8.0658,,FD200 PROPUESTO2,,,,,,,,
0+148.36,Fitting - (98),Codo,367847.4369,4057560.9892,,3.234,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+150.00,Pressure Pipe - (104),Tubería a presión,367848.8705,4057561.7923,3.145,3.245,3.356,-0.68 %,"59° 5' 59.855""",<Ninguno>,,29.5000,,FD200 PROPUESTO2,,,,,,,,
0+152.99,Fitting - (99),Codo,367851.3549,4057563.4557,,3.269,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+157.63,Fitting - (100),Codo,367854.8379,4057566.5060,,3.273,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+160.00,Pressure Pipe - (106),Tubería a presión,367856.4958,4057568.2055,3.168,3.268,3.379,0.02 %,"44° 17' 21.089""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+170.00,Pressure Pipe - (106),Tubería a presión,367863.4786,4057575.3638,3.167,3.267,3.378,0.02 %,"44° 17' 21.089""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+180.00,Pressure Pipe - (106),Tubería a presión,367870.4614,4057582.5220,3.165,3.265,3.376,0.02 %,"44° 17' 21.089""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+187.34,Fitting - (101),Codo,367875.5890,4057587.7784,,3.268,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+190.00,Pressure Pipe - (107),Tubería a presión,367877.4442,4057589.6803,3.157,3.257,3.368,0.26 %,"44° 17' 21.089""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+200.00,Pressure Pipe - (107),Tubería a presión,367884.4270,4057596.8385,3.130,3.230,3.341,0.26 %,"44° 17' 21.089""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+210.00,Pressure Pipe - (107),Tubería a presión,367891.4098,4057603.9968,3.104,3.204,3.315,0.26 %,"44° 17' 21.089""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+220.00,Pressure Pipe - (108),Tubería a presión,367898.2148,4057611.3148,3.086,3.186,3.297,-0.01 %,"39° 37' 42.110""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+230.00,Pressure Pipe - (108),Tubería a presión,367904.5929,4057619.0168,3.087,3.187,3.298,-0.01 %,"39° 37' 42.110""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+240.00,Pressure Pipe - (108),Tubería a presión,367910.9709,4057626.7188,3.088,3.188,3.299,-0.01 %,"39° 37' 42.110""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+250.00,Pressure Pipe - (109),Tubería a presión,367916.7312,4057634.8923,3.089,3.189,3.300,-0.01 %,"35° 4' 29.283""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+260.00,Pressure Pipe - (109),Tubería a presión,367922.4777,4057643.0763,3.091,3.191,3.302,-0.01 %,"35° 4' 29.283""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+270.00,Pressure Pipe - (109),Tubería a presión,367928.2241,4057651.2603,3.092,3.192,3.303,-0.01 %,"35° 4' 29.283""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+280.00,Pressure Pipe - (109),Tubería a presión,367933.9706,4057659.4443,3.093,3.193,3.304,-0.01 %,"35° 4' 29.283""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+290.00,Pressure Pipe - (109),Tubería a presión,367939.7170,4057667.6284,3.094,3.194,3.305,-0.01 %,"35° 4' 29.283""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+300.00,Pressure Pipe - (109),Tubería a presión,367945.4635,4057675.8124,3.096,3.196,3.307,-0.01 %,"35° 4' 29.283""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+301.08,Fitting - (163),Unión en T,367946.0869,4057676.7002,,3.196,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+303.08,Fitting - (104),Codo,367947.2362,4057678.3370,,3.196,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+309.58,Fitting - (105),Codo,367951.9310,4057682.8189,,3.059,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+310.00,Pressure Pipe - (111),Tubería a presión,367952.2943,4057683.0382,2.958,3.058,3.169,0.17 %,"58° 57' 4.916""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+320.00,Pressure Pipe - (111),Tubería a presión,367960.8616,4057688.1959,2.941,3.041,3.152,0.17 %,"58° 57' 4.916""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+323.04,Fitting - (106),Codo,367963.4685,4057689.7652,,3.036,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+330.00,Pressure Pipe - (112),Tubería a presión,367970.0144,4057692.1218,2.963,3.063,3.174,-0.39 %,"70° 12' 4.916""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+338.56,Fitting - (107),Codo,367978.0674,4057695.0208,,3.097,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+340.00,Pressure Pipe - (113),Tubería a presión,367979.3020,4057695.7641,3.002,3.102,3.213,-0.40 %,"58° 57' 4.916""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+342.35,Fitting - (165),Codo,367981.3189,4057696.9788,,3.112,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+346.15,Fitting - (166),Codo,367984.0642,4057699.5999,,3.127,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
