Distancia de tramo de tubería,Nombre de pieza,Tipo de pieza,Abscisa,Ordenada,Rasante,Elevación de eje,Elevación de generatriz interior superior,Talud,Orientación/ángulo,Perfil de superficie,Elevación del perfil de superficie,Radio horizontal,Radio vertical,Nombre del tramo de tubería,Comparar con,P.K. comparado,Abscisa comparada,Ordenada comparada,Elevación comparada,Desfase comparado (XY),Desfase comparado (Z),Pendiente comparada
0+000.00,Fitting - (152),Unión en T,367739.5965,4057516.7175,,3.814,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+000.81,Appurtenance - (1),Válvula,367740.0561,4057517.3892,,3.907,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+010.00,Pressure Pipe - (173),Tubería a presión,367745.2429,4057524.9709,3.766,3.866,3.977,0.40 %,"34° 22' 36.107""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+020.00,Pressure Pipe - (173),Tubería a presión,367750.8892,4057533.2243,3.726,3.826,3.937,0.40 %,"34° 22' 36.107""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+030.00,Pressure Pipe - (173),Tubería a presión,367756.5355,4057541.4778,3.686,3.786,3.897,0.40 %,"34° 22' 36.107""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+040.00,Pressure Pipe - (173),Tubería a presión,367762.1818,4057549.7312,3.646,3.746,3.857,0.40 %,"34° 22' 36.107""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+050.00,Pressure Pipe - (173),Tubería a presión,367767.8281,4057557.9846,3.606,3.706,3.817,0.40 %,"34° 22' 36.107""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+060.00,Pressure Pipe - (173),Tubería a presión,367773.4744,4057566.2381,3.566,3.666,3.777,0.40 %,"34° 22' 36.107""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+060.74,Fitting - (92),Codo,367773.8914,4057566.8512,,3.666,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+068.86,Fitting - (93),Codo,367779.7921,4057572.3411,,3.480,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+070.00,Pressure Pipe - (99),Tubería a presión,367780.7883,4057572.8970,3.403,3.503,3.614,-1.72 %,"62° 23' 16.222""",<Ninguno>,,19.5019,,FD200 PROPUESTO2,,,,,,,,
0+076.98,Fitting - (94),Codo,367787.4077,4057574.9778,,3.626,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+080.00,Pressure Pipe - (100),Tubería a presión,367790.4245,4057575.1695,3.471,3.571,3.682,1.71 %,"89° 54' 4.267""",<Ninguno>,,24.5046,,FD200 PROPUESTO2,,,,,,,,
0+090.00,Pressure Pipe - (100),Tubería a presión,367800.1527,4057573.1740,3.300,3.400,3.511,1.71 %,"113° 16' 58.035""",<Ninguno>,,24.5046,,FD200 PROPUESTO2,,,,,,,,
0+100.00,Pressure Pipe - (101),Tubería a presión,367806.5802,4057577.3089,3.209,3.309,3.420,0.51 %,"31° 11' 47.424""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+102.93,Fitting - (96),Codo,367808.0987,4057579.8163,,3.295,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+102.94,Fitting - (95),Codo,367803.1441,4057571.6341,,3.343,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+105.96,Fitting - (162),Unión en T,367810.6836,4057578.2478,,3.287,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+110.00,Pressure Pipe - (174),Tubería a presión,367814.1415,4057576.1494,3.177,3.277,3.388,0.25 %,"121° 15' 5.568""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+120.00,Pressure Pipe - (174),Tubería a presión,367822.6905,4057570.9614,3.152,3.252,3.363,0.25 %,"121° 15' 5.568""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+130.00,Pressure Pipe - (174),Tubería a presión,367831.2395,4057565.7734,3.127,3.227,3.338,0.25 %,"121° 15' 5.568""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
0+136.06,Fitting - (97),Codo,367836.4178,4057562.6321,,3.212,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,
