"Red","NombreOriginal","Shape","Material","Diametro_mm","NodoInicialRaw","NodoFinalRaw","AliasInicial","AliasFinal","TramoBC3","US_Invert_m","DS_Invert_m","LongitudCentro_m","LongitudUtil_m","Pendiente_pct","CodigoBC3","CapituloBC3","Impacta"
"PLUVIALES","PP3 (2) (2)-IM15","Circular","...","250","PPEX3","IM15","IM70","IM81","IM70-IM81","2.16","2.09","2.56","1.91","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM14-PP3 (2) (1)","Circular","...","250","IM14","PPEX4","IM79","IM74","IM79-IM74","2.5","2.21","9.54","8.89","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP3 (2) (1)-IM13","Circular","...","250","PPEX4","IM13","IM74","IM82","IM74-IM82","2.21","2.18","1","0.35","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP3 (2) (2)-PP6","Circular","...","250","PPEX3","PP6","IM70","PP6","IM70-PP6","2.16","1.97","6.34","5.34","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP3 (2) (1)-PP6","Circular","...","250","PPEX4","PP6","IM74","PP6","IM74-PP6","2.21","1.97","4.1","3.1","5.93","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM17-PP4","Circular","...","250","IM17","PP4","IM65","PP4","IM65-PP4","2.79","2.51","8.24","7.59","3.41","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP4-IM18","Circular","...","250","PP4","IM18","PP4","IM78","PP4-IM78","2.3","2.07","7.67","7.02","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP3-PP4","Circular","...","400","PP3","PP4","PP3","PP4","PP3-PP4","2.18","2.13","18.96","17.96","0.25","UAC010.3","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM19-PP7","Circular","...","250","IM19","PP7","IM77","PP7","IM77-PP7","2.7","2.44","8.62","7.97","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM20-PP7","Circular","...","250","IM20","PP7","IM13","PP7","IM13-PP7","4.48","4.36","7.04","6.39","1.74","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM21-PP8","Circular","...","250","IM21","PP8","IM11","PP8","IM11-PP8","5.51","5.31","6.12","5.47","3.11","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP8-IM22","Circular","...","250","PP8","IM22","PP8","IM15","PP8-IM15","4.48","4.36","3.25","2.6","3.78","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP9-IM23","Circular","...","250","PP9","IM23","PP9","IM16","PP9-IM16","4.48","4.36","5.73","5.08","2.14","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM24-PP11","Circular","...","250","IM24","PP11","IM12","PP11","IM12-PP11","4.48","4.36","14.24","13.59","0.86","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP6-PP7","Circular","...","400","PP6","PP7","PP6","PP7","PP6-PP7","1.97","1.92","21.49","20.49","0.25","UAC010.3","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM26-PP14","Circular","...","250","IM26","PP14","IM28","PP14","IM28-PP14","2.92","2.73","13.67","13.02","1.45","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
