"Red","NombreOriginal","Shape","Material","Diametro_mm","NodoInicialRaw","NodoFinalRaw","AliasInicial","AliasFinal","TramoBC3","US_Invert_m","DS_Invert_m","LongitudCentro_m","LongitudUtil_m","Pendiente_pct","CodigoBC3","CapituloBC3","Impacta"
"PLUVIALES","IM53-PP32","Circular","...","250","IM53","PP32","IM38","PP32","IM38-PP32","1.68","1.51","5.97","5.32","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM56-PP33","Circular","...","250","IM56","PP33","IM44","PP33","IM44-PP33","3.04","2.73","10.41","9.76","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM55-PP33","Circular","...","250","IM55","PP33","IM43","PP33","IM43-PP33","1.6","1.43","5.76","5.11","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM58-PP34","Circular","...","250","IM58","PP34","IM49","PP34","IM49-PP34","2.86","2.55","10.41","9.76","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM57-PP34","Circular","...","250","IM57","PP34","IM48","PP34","IM48-PP34","1.52","1.35","5.76","5.11","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM60-PP35","Circular","...","250","IM60","PP35","IM53","PP35","IM53-PP35","2.68","2.37","10.41","9.76","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM59-PP35","Circular","...","250","IM59","PP35","IM52","PP35","IM52-PP35","1.44","1.27","5.76","5.11","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM62-PP36","Circular","...","250","IM62","PP36","IM56","PP36","IM56-PP36","2.5","2.19","10.41","9.76","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM61-PP36","Circular","...","250","IM61","PP36","IM55","PP36","IM55-PP36","1.36","1.19","5.76","5.11","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM64-PP37","Circular","...","250","IM64","PP37","IM60","PP37","IM60-PP37","2.32","2.01","10.41","9.76","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM63-PP37","Circular","...","250","IM63","PP37","IM59","PP37","IM59-PP37","1.28","1.11","5.76","5.11","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM66-PP38","Circular","...","250","IM66","PP38","IM92","PP38","IM92-PP38","2.14","1.83","10.41","9.76","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP38-IM65","Circular","...","250","PP38","IM65","PP38","IM91","PP38-IM91","1.2","1.03","5.76","5.11","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM68-PP39","Circular","...","250","IM68","PP39","IM94","PP39","IM94-PP39","1.96","1.64","10.41","9.76","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP39-IM67","Circular","...","250","PP39","IM67","PP39","IM93","PP39-IM93","1.12","0.95","5.76","5.11","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM70-PP40","Circular","...","250","IM70","PP40","IM99","PP40","IM99-PP40","1.77","1.46","10.41","9.76","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP40-IM69","Circular","...","250","PP40","IM69","PP40","IM98","PP40-IM98","1.04","0.87","5.76","5.11","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM71-PP41","Circular","...","250","IM71","PP41","IM96","PP41","IM96-PP41","1.76","1.59","5.74","5.09","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
