"Red","CodigoBase","AliasBC3","TipoInterpretado","CodigoBC3_Referencia","DuplicadosMismoCodigo","NombreRepresentativo","TipoOrigen","Tamano","CotaTapa_m","CotaSumidero_m","ProfundidadGeom_m","ProfundidadReportada_m","Observacion"
"PLUVIALES","IM14","IM79","Imbornal / estructura auxiliar","U044879794E3","1","IM14","Rectangular","L:0.70 W:0.30","3.26","2.5","0.76","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM16","IM80","Imbornal / estructura auxiliar","U044879794E3","1","IM16","Rectangular","L:0.70 W:0.30","3.26","2.5","0.76","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM15","IM81","Imbornal / estructura auxiliar","U044879794E3","1","IM15","Rectangular","L:0.70 W:0.30","3.26","2.09","1.17","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM13","IM82","Imbornal / estructura auxiliar","U044879794E3","1","IM13","Rectangular","L:0.70 W:0.30","3.25","2.18","1.07","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM04","IM83","Imbornal / estructura auxiliar","U044879794E3","1","IM04","Rectangular","L:0.70 W:0.30","3.25","2.05","1.2","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM87","IM84","Imbornal / estructura auxiliar","U044879794E3","1","IM87","Rectangular","L:0.70 W:0.30","3.24","2.02","1.22","1.21","Criterio actual: no PP = imbornal"
"PLUVIALES","PV01","IM85","Imbornal / estructura auxiliar","U044879794E3","1","PV01","Rectangular","L:3.00 W:2.00","3.23","1.47","1.76","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM12","IM86","Imbornal / estructura auxiliar","U044879794E3","1","IM12","Rectangular","L:0.70 W:0.30","3.22","1.35","1.87","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP38","PP38","Pozo pluvial","UAP0.2-TIPOI","1","PP38","Circular","D:1.00","3.21","1.2","2.01","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","IM08","IM87","Imbornal / estructura auxiliar","U044879794E3","1","IM08","Rectangular","L:0.70 W:0.30","3.2","2.44","0.76","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM11","IM88","Imbornal / estructura auxiliar","U044879794E3","1","IM11","Rectangular","L:0.70 W:0.30","3.18","2.42","0.76","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM05","IM89","Imbornal / estructura auxiliar","U044879794E3","1","IM05","Rectangular","L:0.70 W:0.30","3.18","2.57","0.61","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM03","IM90","Imbornal / estructura auxiliar","U044879794E3","1","IM03","Rectangular","L:0.70 W:0.30","3.16","2.07","1.09","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM65","IM91","Imbornal / estructura auxiliar","U044879794E3","1","IM65","Rectangular","L:0.70 W:0.30","3.14","1.03","2.11","0","Criterio actual: no PP = imbornal"
