Distancia de tramo de tubería,Nombre de pieza,Tipo de pieza,Abscisa,Ordenada,Rasante,Elevación de eje,Elevación de generatriz interior superior,Talud,Orientación/ángulo,Perfil de superficie,Elevación del perfil de superficie,Radio horizontal,Radio vertical,Nombre del tramo de tubería,Comparar con,P.K. comparado,Abscisa comparada,Ordenada comparada,Elevación comparada,Desfase comparado (XY),Desfase comparado (Z),Pendiente comparada,origen_fd,pieza_id
0+030.00,Pressure Pipe - (173),Tubería a presión,367756.5355,4057541.4778,3.686,3.786,3.897,0.40 %,"34° 22' 36.107""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,173
0+040.00,Pressure Pipe - (173),Tubería a presión,367762.1818,4057549.7312,3.646,3.746,3.857,0.40 %,"34° 22' 36.107""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,173
0+050.00,Pressure Pipe - (173),Tubería a presión,367767.8281,4057557.9846,3.606,3.706,3.817,0.40 %,"34° 22' 36.107""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,173
0+060.00,Pressure Pipe - (173),Tubería a presión,367773.4744,4057566.2381,3.566,3.666,3.777,0.40 %,"34° 22' 36.107""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,173
0+060.74,Fitting - (92),Codo,367773.8914,4057566.8512,,3.666,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,92
0+068.86,Fitting - (93),Codo,367779.7921,4057572.3411,,3.480,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,93
0+070.00,Pressure Pipe - (99),Tubería a presión,367780.7883,4057572.8970,3.403,3.503,3.614,-1.72 %,"62° 23' 16.222""",<Ninguno>,,19.5019,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,99
0+076.98,Fitting - (94),Codo,367787.4077,4057574.9778,,3.626,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,94
0+080.00,Pressure Pipe - (100),Tubería a presión,367790.4245,4057575.1695,3.471,3.571,3.682,1.71 %,"89° 54' 4.267""",<Ninguno>,,24.5046,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,100
0+090.00,Pressure Pipe - (100),Tubería a presión,367800.1527,4057573.1740,3.300,3.400,3.511,1.71 %,"113° 16' 58.035""",<Ninguno>,,24.5046,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,100
0+100.00,Pressure Pipe - (101),Tubería a presión,367806.5802,4057577.3089,3.209,3.309,3.420,0.51 %,"31° 11' 47.424""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,101
0+102.93,Fitting - (96),Codo,367808.0987,4057579.8163,,3.295,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,96
0+102.94,Fitting - (95),Codo,367803.1441,4057571.6341,,3.343,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,95
0+105.96,Fitting - (162),Unión en T,367810.6836,4057578.2478,,3.287,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,162
0+110.00,Pressure Pipe - (174),Tubería a presión,367814.1415,4057576.1494,3.177,3.277,3.388,0.25 %,"121° 15' 5.568""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,174
0+120.00,Pressure Pipe - (174),Tubería a presión,367822.6905,4057570.9614,3.152,3.252,3.363,0.25 %,"121° 15' 5.568""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,174
0+130.00,Pressure Pipe - (174),Tubería a presión,367831.2395,4057565.7734,3.127,3.227,3.338,0.25 %,"121° 15' 5.568""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,174
0+136.06,Fitting - (97),Codo,367836.4178,4057562.6321,,3.212,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,97
0+140.00,Pressure Pipe - (103),Tubería a presión,367839.4869,4057560.2188,3.119,3.219,3.330,-0.18 %,"114° 9' 16.588""",<Ninguno>,,8.0658,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,103
0+148.36,Fitting - (98),Codo,367847.4369,4057560.9892,,3.234,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,98
0+150.00,Pressure Pipe - (104),Tubería a presión,367848.8705,4057561.7923,3.145,3.245,3.356,-0.68 %,"59° 5' 59.855""",<Ninguno>,,29.5000,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,104
0+152.99,Fitting - (99),Codo,367851.3549,4057563.4557,,3.269,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,99
0+157.63,Fitting - (100),Codo,367854.8379,4057566.5060,,3.273,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,100
0+160.00,Pressure Pipe - (106),Tubería a presión,367856.4958,4057568.2055,3.168,3.268,3.379,0.02 %,"44° 17' 21.089""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,106
0+170.00,Pressure Pipe - (106),Tubería a presión,367863.4786,4057575.3638,3.167,3.267,3.378,0.02 %,"44° 17' 21.089""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,106
0+180.00,Pressure Pipe - (106),Tubería a presión,367870.4614,4057582.5220,3.165,3.265,3.376,0.02 %,"44° 17' 21.089""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,106
0+187.34,Fitting - (101),Codo,367875.5890,4057587.7784,,3.268,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,101
0+190.00,Pressure Pipe - (107),Tubería a presión,367877.4442,4057589.6803,3.157,3.257,3.368,0.26 %,"44° 17' 21.089""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,107
0+200.00,Pressure Pipe - (107),Tubería a presión,367884.4270,4057596.8385,3.130,3.230,3.341,0.26 %,"44° 17' 21.089""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,107
0+210.00,Pressure Pipe - (107),Tubería a presión,367891.4098,4057603.9968,3.104,3.204,3.315,0.26 %,"44° 17' 21.089""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,107
0+220.00,Pressure Pipe - (108),Tubería a presión,367898.2148,4057611.3148,3.086,3.186,3.297,-0.01 %,"39° 37' 42.110""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,108
0+230.00,Pressure Pipe - (108),Tubería a presión,367904.5929,4057619.0168,3.087,3.187,3.298,-0.01 %,"39° 37' 42.110""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,108
0+240.00,Pressure Pipe - (108),Tubería a presión,367910.9709,4057626.7188,3.088,3.188,3.299,-0.01 %,"39° 37' 42.110""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,108
0+250.00,Pressure Pipe - (109),Tubería a presión,367916.7312,4057634.8923,3.089,3.189,3.300,-0.01 %,"35° 4' 29.283""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,109
0+260.00,Pressure Pipe - (109),Tubería a presión,367922.4777,4057643.0763,3.091,3.191,3.302,-0.01 %,"35° 4' 29.283""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,109
0+270.00,Pressure Pipe - (109),Tubería a presión,367928.2241,4057651.2603,3.092,3.192,3.303,-0.01 %,"35° 4' 29.283""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,109
0+280.00,Pressure Pipe - (109),Tubería a presión,367933.9706,4057659.4443,3.093,3.193,3.304,-0.01 %,"35° 4' 29.283""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,109
0+290.00,Pressure Pipe - (109),Tubería a presión,367939.7170,4057667.6284,3.094,3.194,3.305,-0.01 %,"35° 4' 29.283""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,109
0+300.00,Pressure Pipe - (109),Tubería a presión,367945.4635,4057675.8124,3.096,3.196,3.307,-0.01 %,"35° 4' 29.283""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,109
