Dibujo:,ABASTECIMIENTO.dwg
Ruta de dibujo:,Z:\PROYECTO 535\535.2\535.2.1 Proyecto de Urbanización\PLANOS\04_CIVIL3D\ABASTECIMIENTO.dwg
Fecha del informe:,29/04/2026
Notificado por:,USUARIO
Versión del informe:,1.0 (B)

ABASTECIMIENTO
Nombre de la red de tuberías a presión,Descripción,Lista de piezas,Tuberías,Accesorios,Elementos hidromecánicos,Tramos de tubería,Superficie de referencia por defecto,Alineación de referencia por defecto,Elevación mínima,Elevación máxima,Estilo de etiqueta de tuberías en planta,Estilo de etiqueta de accesorio en planta,Estilo de etiqueta de elemento hidromecánico en planta,Capa de tuberías en planta,Capa de accesorio en planta,Capa de elemento hidromecánico en planta,Infracciones
ABASTECIMIENTO,<Ninguno>,ESPAÑA,124,112,4,10,PROPUESTA,<Ninguno>,-1.163,8.827,<Ninguno>,<Ninguno>,<Ninguno>,C-WATR-PIPE,C-WATR-FITT,C-WATR-APPT,0

ABASTECIMIENTO
Nombre de accesorio,Descripción,Estilo de accesorio,Tipo de pieza,Diámetro nominal,Alineación de referencia,Superficie de referencia,P.K.,Desfase,Abscisa,Ordenada,Elevación,Ángulo horizontal,Ángulo vertical,Conexiones,Material,Descripción de pieza,Infracciones,Conjuntos de propiedades
Fitting - (66),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367729.5065,4057902.3221,7.276,11° 15' 27.997",0° 25' 7.678",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (67),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367752.4277,4057925.1791,8.827,7° 48' 31.553",8° 6' 17.673",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (68),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367774.0209,4057950.4545,7.658,11° 5' 7.597",1° 58' 22.768",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (69),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367787.3757,4057968.3431,6.610,10° 37' 5.119",3° 44' 18.364",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (70),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367814.2817,4058011.3572,5.702,2° 53' 10.457",10° 52' 28.643",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (71),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367837.5462,4058048.1355,5.732,11° 11' 26.648",1° 9' 17.868",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (72),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367918.0916,4058177.1230,5.914,11° 14' 16.728",0° 31' 14.960",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (73),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367950.5358,4058226.0029,6.061,10° 23' 26.392",4° 19' 5.745",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (74),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367959.2473,4058239.4550,6.029,10° 15' 5.524",4° 38' 23.277",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (75),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367981.6170,4058273.1507,5.747,10° 17' 44.650",4° 32' 25.892",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (76),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368009.4749,4058316.8359,5.806,11° 4' 37.354",1° 58' 5.256",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (77),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368036.8562,4058357.4247,5.636,11° 11' 16.361",1° 11' 3.575",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (78),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368053.0405,4058379.0226,5.399,10° 43' 40.395",3° 23' 33.636",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (79),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368070.8449,4058401.4130,5.413,1° 44' 56.451",11° 6' 49.061",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (80),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368072.7059,4058403.7660,5.391,11° 14' 59.726",0° 4' 43.333",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (81),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368085.3646,4058419.6840,5.265,11° 14' 59.651",0° 4' 48.686",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
