;;2.2.- Compactación;;;;;;;;;;
;;Densidad y humedad in situ;ASTM-D-3017;5;3500;m²;5027.27;m²;10;26;260;RELLENOTERRA (LM-1.03)
;;Deformabilidad;NLT- 357 (PLACA DE CARGA);1;3500;m²;5027.27;m²;2;172.5;345;RELLENOTERRA (LM-1.03)
;;;;;;;;TOTAL CAPÍTULO 2;TOTAL CAPÍTULO 2;TOTAL CAPÍTULO 2;1799;
;;ENSAYO;NORMA O PROCEDIMIENTO;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;
;;ENSAYO;NORMA O PROCEDIMIENTO;ENSAYOS;ENSAYOS;ENSAYOS;PROYECTO;PROYECTO;TOTAL ENSAYOS;PRECIO UNITARIO;IMPORTE;
;;ENSAYO;NORMA O PROCEDIMIENTO;Nº;TAMAÑO LOTE;UD;MEDICIÓN;UD;TOTAL ENSAYOS;PRECIO UNITARIO;IMPORTE;
;;CAPÍTULO 3: FIRMES. ZAHORRA ARTIFICIAL;CAPÍTULO 3: FIRMES. ZAHORRA ARTIFICIAL;CAPÍTULO 3: FIRMES. ZAHORRA ARTIFICIAL;CAPÍTULO 3: FIRMES. ZAHORRA ARTIFICIAL;CAPÍTULO 3: FIRMES. ZAHORRA ARTIFICIAL;CAPÍTULO 3: FIRMES. ZAHORRA ARTIFICIAL;CAPÍTULO 3: FIRMES. ZAHORRA ARTIFICIAL;CAPÍTULO 3: FIRMES. ZAHORRA ARTIFICIAL;CAPÍTULO 3: FIRMES. ZAHORRA ARTIFICIAL;CAPÍTULO 3: FIRMES. ZAHORRA ARTIFICIAL;
;;3.- ZAHORRA ARTIFICIAL;;;;;;;;;;PAV003
;;3.1.- Identificación de los materiales;;;;;;;;;;
;;Análisis granulométrico de suelos por tamizado;UNE-EN 933-1;2;1000;m³;6209.6;m³;6;46.5;279;PAV003 (LM-1.03)
;;Humedad natural;UNE-EN 1097-5;2;1000;m³;6209.6;m³;6;46.5;279;PAV003 (LM-1.03)
;;Límites de Atterberg;UNE- 103103/103104;1;5000;m³;6209.6;m³;1;43.5;43.5;PAV003 (LM-1.03)
;;Ensayo de compactación Próctor modificado;UNE-103501;1;5000;m³;6209.6;m³;1;113.5;113.5;PAV003 (LM-1.03)
;;Equivalente de arena;UNE-EN 933-8;1;5000;m³;6209.6;m³;1;27;27;PAV003 (LM-1.03)
;;Caras fracturadas;UNE-EN 933-5;1;20000;m³;6209.6;m³;1;27;27;PAV003 (LM-1.03)
